,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'coffee'}),frozenset({'coca-cola'}),0.75,0.75,0.75,1.0,1.3333333333333333,0.1875,inf,1.0
1,frozenset({'coca-cola'}),frozenset({'coffee'}),0.75,0.75,0.75,1.0,1.3333333333333333,0.1875,inf,1.0
