,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
15,frozenset({'beer'}),frozenset({'honey'}),0.8979591836734694,0.8367346938775511,0.7908163265306123,0.8806818181818182,1.0525221729490022,0.039462723865056226,1.3683187560738583,0.4890322580645161
16,frozenset({'beer'}),frozenset({'juice'}),0.8979591836734694,0.8724489795918368,0.8214285714285714,0.9147727272727273,1.0485114300903775,0.03800499791753431,1.4965986394557824,0.4534161490683224
17,frozenset({'juice'}),frozenset({'beer'}),0.8724489795918368,0.8979591836734694,0.8214285714285714,0.9415204678362572,1.0485114300903773,0.03800499791753431,1.7448979591836702,0.362732919254658
18,frozenset({'milk'}),frozenset({'beer'}),0.8163265306122449,0.8979591836734694,0.7857142857142857,0.9624999999999999,1.071875,0.05268638067471887,2.7210884353741434,0.3650793650793651
19,frozenset({'beer'}),frozenset({'milk'}),0.8979591836734694,0.8163265306122449,0.7857142857142857,0.875,1.071875,0.05268638067471887,1.4693877551020407,0.6571428571428571
20,frozenset({'beer'}),frozenset({'pens'}),0.8979591836734694,0.8367346938775511,0.7704081632653061,0.8579545454545455,1.025360310421286,0.01905456059975008,1.149387755102041,0.2423841059602646
21,frozenset({'pens'}),frozenset({'beer'}),0.8367346938775511,0.8979591836734694,0.7704081632653061,0.9207317073170731,1.025360310421286,0.01905456059975008,1.2872841444270005,0.15149006622516542
22,frozenset({'pepper'}),frozenset({'beer'}),0.8061224489795918,0.8979591836734694,0.7857142857142857,0.9746835443037974,1.0854430379746836,0.06184922948771343,4.030612244897956,0.4060150375939849
23,frozenset({'beer'}),frozenset({'pepper'}),0.8979591836734694,0.8061224489795918,0.7857142857142857,0.875,1.0854430379746836,0.06184922948771343,1.5510204081632653,0.7714285714285711
24,frozenset({'salt'}),frozenset({'beer'}),0.8877551020408163,0.8979591836734694,0.8163265306122449,0.9195402298850575,1.0240334378265412,0.019158683881715932,1.268221574344023,0.20909090909090886
25,frozenset({'beer'}),frozenset({'salt'}),0.8979591836734694,0.8877551020408163,0.8163265306122449,0.9090909090909091,1.0240334378265412,0.019158683881715932,1.2346938775510201,0.22999999999999973
26,frozenset({'beer'}),frozenset({'sugar'}),0.8979591836734694,0.9030612244897959,0.8418367346938775,0.9375,1.038135593220339,0.03092461474385677,1.5510204081632661,0.36000000000000054
27,frozenset({'sugar'}),frozenset({'beer'}),0.9030612244897959,0.8979591836734694,0.8418367346938775,0.9322033898305085,1.038135593220339,0.03092461474385677,1.505102040816328,0.378947368421053
28,frozenset({'beer'}),frozenset({'tea'}),0.8979591836734694,0.7857142857142857,0.7551020408163265,0.8409090909090908,1.0702479338842974,0.04956268221574345,1.3469387755102036,0.6432432432432434
29,frozenset({'tea'}),frozenset({'beer'}),0.7857142857142857,0.8979591836734694,0.7551020408163265,0.961038961038961,1.0702479338842976,0.04956268221574345,2.619047619047618,0.30630630630630634
30,frozenset({'beer'}),frozenset({'tomatoes'}),0.8979591836734694,0.8418367346938775,0.8061224489795918,0.8977272727272727,1.0663911845730027,0.050187421907538554,1.546485260770975,0.6101265822784814
31,frozenset({'tomatoes'}),frozenset({'beer'}),0.8418367346938775,0.8979591836734694,0.8061224489795918,0.9575757575757576,1.0663911845730027,0.050187421907538554,2.405247813411082,0.3936300530828912
32,frozenset({'water'}),frozenset({'beer'}),0.8367346938775511,0.8979591836734694,0.8010204081632653,0.9573170731707316,1.0661031042128601,0.04966680549770919,2.390670553935852,0.37977707006369366
33,frozenset({'beer'}),frozenset({'water'}),0.8979591836734694,0.8367346938775511,0.8010204081632653,0.8920454545454545,1.0661031042128601,0.04966680549770919,1.5123523093447893,0.6076433121019096
34,frozenset({'bread'}),frozenset({'cheese'}),0.8112244897959183,0.8316326530612245,0.7397959183673469,0.9119496855345912,1.0965775359802448,0.0651551436901292,1.9121720116618082,0.46654240447343953
35,frozenset({'cheese'}),frozenset({'bread'}),0.8316326530612245,0.8112244897959183,0.7397959183673469,0.8895705521472392,1.0965775359802445,0.0651551436901292,1.7094671201814058,0.5230929989550686
36,frozenset({'bread'}),frozenset({'coffee'}),0.8112244897959183,0.8367346938775511,0.7397959183673469,0.9119496855345912,1.089891087590121,0.06101624323198662,1.8542274052478134,0.4369058713886296
37,frozenset({'coffee'}),frozenset({'bread'}),0.8367346938775511,0.8112244897959183,0.7397959183673469,0.8841463414634145,1.089891087590121,0.06101624323198662,1.6294307196562825,0.5051724137931032
38,frozenset({'bread'}),frozenset({'honey'}),0.8112244897959183,0.8367346938775511,0.7448979591836735,0.918238993710692,1.0974075778493635,0.06611828404831321,1.996860282574571,0.47019622362088104
39,frozenset({'honey'}),frozenset({'bread'}),0.8367346938775511,0.8112244897959183,0.7448979591836735,0.8902439024390244,1.0974075778493635,0.06611828404831321,1.7199546485260777,0.543664383561644
40,frozenset({'bread'}),frozenset({'juice'}),0.8112244897959183,0.8724489795918368,0.7602040816326531,0.9371069182389937,1.0741108536540513,0.052452103290295704,2.0280612244897958,0.3654997279158351
41,frozenset({'juice'}),frozenset({'bread'}),0.8724489795918368,0.8112244897959183,0.7602040816326531,0.8713450292397661,1.0741108536540513,0.052452103290295704,1.4673005565862713,0.5409395973154363
42,frozenset({'bread'}),frozenset({'pens'}),0.8112244897959183,0.8367346938775511,0.7397959183673469,0.9119496855345912,1.089891087590121,0.06101624323198662,1.8542274052478134,0.4369058713886296
43,frozenset({'pens'}),frozenset({'bread'}),0.8367346938775511,0.8112244897959183,0.7397959183673469,0.8841463414634145,1.089891087590121,0.06101624323198662,1.6294307196562825,0.5051724137931032
44,frozenset({'bread'}),frozenset({'pepper'}),0.8112244897959183,0.8061224489795918,0.7448979591836735,0.918238993710692,1.139081283337314,0.09095168679716792,2.3712715855573037,0.646797482413921
45,frozenset({'pepper'}),frozenset({'bread'}),0.8061224489795918,0.8112244897959183,0.7448979591836735,0.9240506329113924,1.139081283337314,0.09095168679716792,2.485544217687077,0.6297764960346075
46,frozenset({'salt'}),frozenset({'bread'}),0.8877551020408163,0.8112244897959183,0.75,0.8448275862068966,1.0414226848839732,0.029831320283215335,1.21655328798186,0.3543599257884973
47,frozenset({'bread'}),frozenset({'salt'}),0.8112244897959183,0.8877551020408163,0.75,0.9245283018867925,1.0414226848839732,0.029831320283215335,1.4872448979591841,0.21070049641478214
48,frozenset({'bread'}),frozenset({'sugar'}),0.8112244897959183,0.9030612244897959,0.7806122448979592,0.9622641509433963,1.0655580428525746,0.048026863806747255,2.568877551020418,0.32591414944356156
49,frozenset({'sugar'}),frozenset({'bread'}),0.9030612244897959,0.8112244897959183,0.7806122448979592,0.8644067796610171,1.0655580428525746,0.048026863806747255,1.392219387755104,0.6346749226006198
50,frozenset({'bread'}),frozenset({'tomatoes'}),0.8112244897959183,0.8418367346938775,0.7448979591836735,0.918238993710692,1.0907566228320946,0.061979383590170856,1.9344583987441162,0.44076268048870837
51,frozenset({'tomatoes'}),frozenset({'bread'}),0.8418367346938775,0.8112244897959183,0.7448979591836735,0.8848484848484849,1.0907566228320946,0.061979383590170856,1.6393662728249203,0.5260715863897488
52,frozenset({'bread'}),frozenset({'water'}),0.8112244897959183,0.8367346938775511,0.7397959183673469,0.9119496855345912,1.089891087590121,0.06101624323198662,1.8542274052478134,0.4369058713886296
53,frozenset({'water'}),frozenset({'bread'}),0.8367346938775511,0.8112244897959183,0.7397959183673469,0.8841463414634145,1.089891087590121,0.06101624323198662,1.6294307196562825,0.5051724137931032
54,frozenset({'cheese'}),frozenset({'butter'}),0.8316326530612245,0.8316326530612245,0.7295918367346939,0.8773006134969326,1.054913621137416,0.03797896709704296,1.372193877551021,0.3091756728120369
