,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'beer'}),frozenset({'bread'}),0.8438945886139609,0.8738684369342185,0.7978273989136995,0.9454112038140644,1.081869036408774,0.06037455382437207,2.3105760133666116,0.484760281984497
1,frozenset({'bread'}),frozenset({'beer'}),0.8738684369342185,0.8438945886139609,0.7978273989136995,0.9129834254143647,1.081869036408774,0.06037455382437207,1.7939732991030537,0.5999584989154222
2,frozenset({'beer'}),frozenset({'butter'}),0.8438945886139609,0.8782941058137196,0.7837457252061959,0.9287246722288438,1.0574187690447967,0.04255808209846035,1.707545906727244,0.34784751476534215
3,frozenset({'butter'}),frozenset({'beer'}),0.8782941058137196,0.8438945886139609,0.7837457252061959,0.8923499770957397,1.0574187690447967,0.04255808209846035,1.450119630024353,0.44616474621141416
4,frozenset({'beer'}),frozenset({'cheese'}),0.8438945886139609,0.856366928183464,0.7384832025749346,0.8750893921334922,1.021862665796474,0.015799786012948736,1.1498869012793287,0.13705428729495883
5,frozenset({'cheese'}),frozenset({'beer'}),0.856366928183464,0.8438945886139609,0.7384832025749346,0.8623443739722809,1.021862665796474,0.015799786012948736,1.1340285601883415,0.14895535986118774
6,frozenset({'chocolate'}),frozenset({'beer'}),0.8304164152082076,0.8438945886139609,0.7439147052906859,0.8958333333333333,1.061546483909416,0.04313078620027533,1.498611949305974,0.34188529338740314
7,frozenset({'beer'}),frozenset({'chocolate'}),0.8438945886139609,0.8304164152082076,0.7439147052906859,0.8815256257449344,1.061546483909416,0.04313078620027533,1.4313946442687502,0.3714037401102845
8,frozenset({'beer'}),frozenset({'coca-cola'}),0.8438945886139609,0.8491249245624622,0.7398913699456849,0.8767580452920143,1.0325430568932963,0.02331944105018524,1.2242184554361137,0.20189809286759403
9,frozenset({'coca-cola'}),frozenset({'beer'}),0.8491249245624622,0.8438945886139609,0.7398913699456849,0.8713574982231699,1.0325430568932963,0.02331944105018524,1.2134823967964474,0.20889722675367062
10,frozenset({'beer'}),frozenset({'coffee'}),0.8438945886139609,0.8457050895192114,0.7431100382216858,0.8805721096543504,1.041228343742097,0.029424089613137805,1.2919503981375409,0.2536482956479997
11,frozenset({'coffee'}),frozenset({'beer'}),0.8457050895192114,0.8438945886139609,0.7431100382216858,0.878686964795433,1.041228343742097,0.029424089613137805,1.2867983322880556,0.2566246120245734
12,frozenset({'eggs'}),frozenset({'beer'}),0.8694427680547173,0.8438945886139609,0.7783142224904446,0.8951874132346136,1.0607810801404682,0.04459617541952543,1.489376573974527,0.4388758815777582
13,frozenset({'beer'}),frozenset({'eggs'}),0.8438945886139609,0.8694427680547173,0.7783142224904446,0.9222884386174017,1.0607810801404685,0.04459617541952543,1.6800232761057095,0.36704954528861483
